Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"ERUDIO IZOBRAŽEVALNI CENTER, Zavod za izobraževanje, svetovanje in organizacijo","ERUDIO IZOBRAŽEVALNI CENTER, Zavod za izobraževanje, svetovanje in organizacijo",,"Litostrojska cesta 40, 1000 Ljubljana",", ERUDIO IZOBRAŽEVALNI CENTER, Zavod za izobraževanje, svetovanje in organizacijo"
LOTRIČ Meroslovje d.o.o.,LOTRIČ Meroslovje d.o.o.,,"Selca 163, 4227 Selca",", LOTRIČ Meroslovje d.o.o."
LAMPRET CONSULTING d.o.o. agencija za podjetniško svetovanje in izobraževanje,LAMPRET CONSULTING d.o.o. agencija za podjetniško svetovanje in izobraževanje,,"Ulica tolminskih puntarjev 4, 5000 Nova Gorica",", LAMPRET CONSULTING d.o.o. agencija za podjetniško svetovanje in izobraževanje"
"METTLER TOLEDO družba za trgovino, storitve, uvoz in izvoz, d.o.o.","METTLER TOLEDO družba za trgovino, storitve, uvoz in izvoz, d.o.o.",,"Pot heroja Trtnika 26, 1261 Ljubljana - Dobrunje",", METTLER TOLEDO družba za trgovino, storitve, uvoz in izvoz, d.o.o."
"AHATSERVIS trgovina in storitve, d.o.o.","AHATSERVIS trgovina in storitve, d.o.o.",,"Bašelj 15 C, 4205 Preddvor",", AHATSERVIS trgovina in storitve, d.o.o."
"ADRIAPLIN, Podjetje za distribucijo zemeljskega plina d.o.o. Ljubljana","ADRIAPLIN, Podjetje za distribucijo zemeljskega plina d.o.o. Ljubljana",,"Dunajska cesta 7, 1000 Ljubljana",", ADRIAPLIN, Podjetje za distribucijo zemeljskega plina d.o.o. Ljubljana"
MESTNI PLINOVODI distribucija plina d.o.o.,MESTNI PLINOVODI distribucija plina d.o.o.,,"Kolodvorska cesta 2, 6000 Koper - Capodistria",", MESTNI PLINOVODI distribucija plina d.o.o."
ZVEZA ZA ŠPORTNI RIBOLOV NA MORJU SLOVENIJE-Federazione slovena per la pesca sportiva in mare,ZVEZA ZA ŠPORTNI RIBOLOV NA MORJU SLOVENIJE-Federazione slovena per la pesca sportiva in mare,,"Cesta Zore Perello-Godina 3, 6000 Koper - Capodistria",", ZVEZA ZA ŠPORTNI RIBOLOV NA MORJU SLOVENIJE-Federazione slovena per la pesca sportiva in mare"
NOTARSKA ZBORNICA SLOVENIJE,NOTARSKA ZBORNICA SLOVENIJE,,"Tavčarjeva ulica 2, 1000 Ljubljana",", NOTARSKA ZBORNICA SLOVENIJE"
A. L. P. PECA podjetje za razvoj in trženje produktov Mežiške doline d.o.o.,A. L. P. PECA podjetje za razvoj in trženje produktov Mežiške doline d.o.o.,,"Prežihova ulica 17, 2390 Ravne na Koroškem",", A. L. P. PECA podjetje za razvoj in trženje produktov Mežiške doline d.o.o."
STRELSKI KLUB SV. JURIJ ŠENTJUR,STRELSKI KLUB SV. JURIJ ŠENTJUR,,"Cesta Kozjanskega odreda 22, 3230 Šentjur",", STRELSKI KLUB SV. JURIJ ŠENTJUR"
Lovska družina Vitomarci,Lovska družina Vitomarci,,"Vitomarci 71, 2255 Vitomarci",", Lovska družina Vitomarci"
Lovska družina Dornava - Polenšak,Lovska družina Dornava - Polenšak,,"Slomi 5, 2257 Polenšak",", Lovska družina Dornava - Polenšak"
"ELEKTROSERVISI, energetika, merilni laboratorij in nepremičnine, d.d.","ELEKTROSERVISI, energetika, merilni laboratorij in nepremičnine, d.d.",,"Agrokombinatska cesta 61 A, 1000 Ljubljana",", ELEKTROSERVISI, energetika, merilni laboratorij in nepremičnine, d.d."
"JEKO - IN, javno komunalno podjetje, d.o.o., Jesenice","JEKO - IN, javno komunalno podjetje, d.o.o., Jesenice",,"Cesta maršala Tita 51, 4270 Jesenice",", JEKO - IN, javno komunalno podjetje, d.o.o., Jesenice"
"EDC - zavod za strokovno izobraževanje, Kranj","EDC - zavod za strokovno izobraževanje, Kranj",,"Gorenjesavska cesta 9, 4000 Kranj",", EDC - zavod za strokovno izobraževanje, Kranj"
LOVSKA DRUŽINA KRVAVEC,LOVSKA DRUŽINA KRVAVEC,,"Štefanja Gora 36, 4207 Cerklje na Gorenjskem",", LOVSKA DRUŽINA KRVAVEC"
RIBIŠKA DRUŽINA RENČE,RIBIŠKA DRUŽINA RENČE,,"Trg 25, 5292 Renče",", RIBIŠKA DRUŽINA RENČE"
ELEKTROMEHANIKA ROBERT KOPAČ S.P.,ELEKTROMEHANIKA ROBERT KOPAČ S.P.,,"Koroška cesta 65, 4000 Kranj",", ELEKTROMEHANIKA ROBERT KOPAČ S.P."
REGIONALNI CENTER ZA RAZVOJ d.o.o.,REGIONALNI CENTER ZA RAZVOJ d.o.o.,,"Podvine 36, 1410 Zagorje ob Savi",", REGIONALNI CENTER ZA RAZVOJ d.o.o."
Visoka šola Ravne na Koroškem,Visoka šola Ravne na Koroškem,,"Gačnikova pot 5, 2390 Ravne na Koroškem",", Visoka šola Ravne na Koroškem"
Višja strokovna šola za kozmetiko in velnes Ljubljana,Višja strokovna šola za kozmetiko in velnes Ljubljana,,"Poljanska cesta 95, 1000 Ljubljana",", Višja strokovna šola za kozmetiko in velnes Ljubljana"
